,,v_uptake,k_uptake,v_synp,k_synp,yield_S,v_synprot,k_synprot,k_PR,k_fr,n_fr,k_fm,n_fm,fq,fr,ft,fm,fu,ind,f_ind,matH,Jind,_posterior
0,0,1312.8164881601535,798.3919088566136,1000.0,1,6.6,1080,0.11060850057537601,0.16109773552928622,1.7052298729983162e-05,2,1,1,0.45,1,0.030962767206799052,0.07656969829536613,0.22926824609442428,0,4.468754545197051,0.01935439284345118,0.0015299479892678497,54.136132194145915
0,1,1312.8164881601535,798.3919088566136,1000.0,1,6.6,1080,0.11060850057537601,0.16109773552928622,1.7052298729983162e-05,2,1,1,0.45,1,0.030962767206799052,0.07656969829536613,0.22926824609442428,1,4.468754545197051,0.01935439284345118,0.0015299479892678497,54.136132194145915
1,0,228.52919458507293,2088.098827607903,1000.0,1,6.6,1080,0.0015210992472639083,0.04146177650517977,1.3277093252995295e-05,2,1,1,0.45,1,0.015220885026046214,0.2372290353277254,0.2032940870601795,0,1.9195792987128901,0.01915753915136735,0.004677430943009183,59.639185810296524
1,1,228.52919458507293,2088.098827607903,1000.0,1,6.6,1080,0.0015210992472639083,0.04146177650517977,1.3277093252995295e-05,2,1,1,0.45,1,0.015220885026046214,0.2372290353277254,0.2032940870601795,1,1.9195792987128901,0.01915753915136735,0.004677430943009183,59.639185810296524
2,0,4954.418455906445,90.3993003777509,1000.0,1,6.6,1080,0.0421401325186181,0.09861736884840436,1.1641813731169934e-05,2,1,1,0.45,1,0.25594421769952963,0.010112514750678425,0.10265094242712139,0,8.070950573359701,0.01592945632120701,0.001087022771412433,51.17339814058441
2,1,4954.418455906445,90.3993003777509,1000.0,1,6.6,1080,0.0421401325186181,0.09861736884840436,1.1641813731169934e-05,2,1,1,0.45,1,0.25594421769952963,0.010112514750678425,0.10265094242712139,1,8.070950573359701,0.01592945632120701,0.001087022771412433,51.17339814058441
3,0,4682.3844128024375,92.61801217335368,1000.0,1,6.6,1080,0.09320878484841098,0.06084190992380768,2.7113493475733366e-05,2,1,1,0.45,1,0.03375246634537818,0.016999363798526932,0.2557652636192743,0,4.4986955768948285,0.02401366342797149,0.0012564884147585117,51.62230370040084
3,1,4682.3844128024375,92.61801217335368,1000.0,1,6.6,1080,0.09320878484841098,0.06084190992380768,2.7113493475733366e-05,2,1,1,0.45,1,0.03375246634537818,0.016999363798526932,0.2557652636192743,1,4.4986955768948285,0.02401366342797149,0.0012564884147585117,51.62230370040084
4,0,639.2626359209772,7232.20304774638,1000.0,1,6.6,1080,0.0009720595432970418,0.018341873137538867,3.279733564654759e-05,2,1,1,0.45,1,0.014630071864543718,0.10563351025760552,0.3530793191413087,0,1.5380704554043785,0.016032551963292157,0.009192460813772223,60.4907839822032
4,1,639.2626359209772,7232.20304774638,1000.0,1,6.6,1080,0.0009720595432970418,0.018341873137538867,3.279733564654759e-05,2,1,1,0.45,1,0.014630071864543718,0.10563351025760552,0.3530793191413087,1,1.5380704554043785,0.016032551963292157,0.009192460813772223,60.4907839822032
