R_frac,R_frac,x,x,R_frac,R_frac,x,x
LB,M9,LB,M9,LB,M9,LB,M9
Data,Data,Data,Data,Time,Time,Time,Time
0.10833416268577498,0.020800159235668796,0.048,0.05,39,39,39,39
0.12551820228420824,0.1410180287163986,0.057999999999999996,0.059000000000000004,49,49,49,49
0.08548010644795397,0.2600019904458599,0.073,0.068,59,59,59,59
0.052000398089171986,0.053608657823888656,0.12,0.09699999999999999,79,79,79,79
0.04952418865635427,0.022941352098164107,0.21,0.136,99,99,99,99
0.0853737879075958,0.1283960446646222,0.268,0.162,109,109,109,109
0.05104333554765349,0.04800036746692799,0.326,0.195,119,119,119,119
0.0709096337579618,0.10743883902721485,0.396,0.242,129,129,129,129
0.07793970673786901,0.10328846195794439,0.42700000000000005,0.292,139,139,139,139
0.08000061244487999,0.0763847655547159,0.46799999999999997,0.354,149,149,149,149
0.09665501503563567,0.064535100253865,0.5379999999999999,0.419,159,159,159,159
0.10400079617834397,0.05306163070323672,0.63,0.49,169,169,169,169
0.08835722237993011,0.044973317266310896,0.718,0.555,179,179,179,179
0.0728916719147342,0.05650297924799673,0.799,0.589,189,189,189,189
0.06657887614066171,0.03624270169851381,0.9059999999999999,0.66,199,199,199,199
0.07577671527249984,0.046567520676870436,0.9470000000000001,0.737,209,209,209,209
0.07238540573313602,0.052838074886147494,0.977,0.807,219,219,219,219
0.06087348189010213,0.053995898693045406,1.008,0.8859999999999999,229,229,229,229
0.05621664658288863,0.043743762851038474,1.036,0.951,239,239,239,239
0.0738007517231946,0.051638925609902665,1.071,1.0070000000000001,249,249,249,249
0.057412204225149165,0.04015096650953016,1.105,1.062,259,259,259,259
0.057265092034256906,0.0438389006312302,1.126,1.115,269,269,269,269
0.05492682741886565,0.052180330262490936,1.155,1.156,279,279,279,279
0.06433947560185686,0.03391330310163391,1.18,1.196,289,289,289,289
0.06310937756458111,0.05566952593487998,1.203,1.2329999999999999,299,299,299,299
0.06690604965870663,0.05183583986737081,1.228,1.264,309,309,309,309
0.06771756021258732,0.05469492761119404,1.244,1.2930000000000001,319,319,319,319
0.07244250814664473,0.05523562771232229,1.249,1.318,329,329,329,329
0.06916917560554943,0.0561958410142051,1.263,1.351,339,339,339,339
0.08762271804002209,0.06419802233231112,1.27,1.3769999999999998,349,349,349,349
0.08281093840898583,0.04222254545701998,1.281,1.4040000000000001,359,359,359,359
0.07319468253850966,0.06139189654940895,1.2930000000000001,1.423,369,369,369,369
