OD,OD,RFP,RFP,Time
LB,M9,LB,M9,Time
0.043,0.045,0,0,9
0.041,0.044,9,0,19
0.043,0.046,0,2,29
0.048,0.05,5,1,39
0.058,0.059,7,8,49
0.073,0.068,6,17,59
0.093,0.08,0,18,69
0.12,0.097,6,5,79
0.159,0.115,11,0,89
0.21,0.136,10,3,99
0.268,0.162,22,20,109
0.326,0.195,16,9,119
0.396,0.242,27,25,129
0.427,0.292,32,29,139
0.468,0.354,36,26,149
0.538,0.419,50,26,159
0.63,0.49,63,25,169
0.718,0.555,61,24,179
0.799,0.589,56,32,189
0.906,0.66,58,23,199
0.947,0.737,69,33,209
0.977,0.807,68,41,219
1.008,0.886,59,46,229
1.036,0.951,56,40,239
1.071,1.007,76,50,249
1.105,1.062,61,41,259
1.126,1.115,62,47,269
1.155,1.156,61,58,279
1.18,1.196,73,39,289
1.203,1.233,73,66,299
1.228,1.264,79,63,309
1.244,1.293,81,68,319
1.249,1.318,87,70,329
1.263,1.351,84,73,339
1.27,1.377,107,85,349
1.281,1.404,102,57,359
1.293,1.423,91,84,369
1.3,1.441,112,75,379
1.308,1.462,117,103,389
1.312,1.455,98,99,399
1.315,1.45,117,138,409
1.322,1.45,119,159,419
1.33,1.45,121,194,429
1.331,1.45,136,209,439
1.334,1.458,136,270,449
1.331,1.462,157,297,459
1.336,1.467,144,294,469
1.338,1.476,159,309,479
1.345,1.486,157,342,489
1.344,1.494,195,341,499
1.35,1.498,180,347,509
1.351,1.502,183,359,519
1.371,1.504,205,343,529
1.366,1.507,213,349,539
1.366,1.507,218,369,549
1.397,1.508,235,358,559
1.374,1.511,253,339,569
1.37,1.511,255,341,579
1.378,1.513,258,355,589
1.373,1.513,254,366,599
1.37,1.514,271,373,609
1.374,1.515,274,353,619
1.379,1.516,290,355,629
1.376,1.518,273,356,639
1.373,1.518,309,370,649
1.38,1.52,303,352,659
1.372,1.521,299,372,669
1.371,1.522,309,365,679
1.368,1.524,325,364,689
1.366,1.524,310,361,699
1.366,1.526,322,364,709
1.36,1.526,314,372,719
1.351,1.527,313,370,729
1.355,1.527,301,370,739
1.349,1.528,315,374,749
1.348,1.53,296,387,759
1.349,1.533,318,377,769
1.341,1.532,305,350,779
1.343,1.532,303,357,789
1.333,1.532,308,387,799
1.329,1.532,294,365,809
1.323,1.535,294,369,819
1.316,1.536,318,369,829
1.315,1.536,312,369,839
1.318,1.543,305,360,849
1.308,1.536,316,376,859
1.307,1.536,309,376,869
1.307,1.537,306,388,879
1.303,1.538,306,387,889
1.297,1.537,321,372,899
1.286,1.54,303,387,909
1.289,1.538,318,391,919
1.286,1.54,296,369,929
1.278,1.544,317,411,939
1.281,1.54,304,380,949
1.278,1.54,304,389,959
1.275,1.541,312,353,969
1.282,1.542,304,372,979
1.269,1.544,315,396,989
1.272,1.543,314,379,999
1.271,1.547,315,390,1009
1.272,1.546,300,394,1019
1.276,1.547,301,388,1029
1.271,1.548,299,403,1039
1.265,1.55,328,399,1049
1.268,1.553,309,388,1059
1.269,1.551,296,393,1069
1.265,1.554,305,412,1079
1.254,1.555,297,405,1089
1.251,1.557,312,409,1099
1.248,1.56,305,389,1109
1.247,1.563,316,387,1119
1.245,1.567,329,389,1129
1.234,1.566,288,403,1139
1.238,1.569,317,404,1149
1.231,1.57,334,395,1159
1.227,1.571,313,402,1169
1.223,1.572,305,423,1179
1.214,1.576,319,404,1189
1.229,1.577,311,425,1199
1.22,1.579,322,435,1209
1.217,1.582,291,399,1219
1.221,1.583,307,428,1229
1.206,1.585,318,406,1239
1.201,1.587,318,441,1249
1.21,1.589,313,412,1259
1.201,1.592,322,421,1269
1.193,1.592,318,422,1279
1.189,1.595,327,417,1289
1.188,1.598,316,423,1299
1.189,1.599,304,446,1309
1.186,1.601,302,432,1319
1.172,1.603,311,416,1329
1.179,1.604,297,433,1339
1.174,1.605,325,435,1349
1.174,1.609,313,441,1359
1.17,1.608,300,405,1369
1.159,1.61,329,430,1379
1.162,1.609,306,429,1389
1.148,1.609,291,428,1399
1.163,1.609,308,428,1409
1.153,1.609,302,440,1419
1.148,1.612,315,440,1429
1.145,1.612,300,436,1439
1.156,1.612,307,427,1449
