State,x,x,x,x,x,x,x,x,x
Glu,0.1,0.1,0.1,0.15,0.15,0.15,0.2,0.2,0.2
Replicate,1,2,3,1,2,3,1,2,3
12,0.248,0.248,0.24,0.25,0.248,0.242,0.254,0.252,0.241
27,0.251,0.252,0.243,0.253,0.251,0.245,0.257,0.255,0.245
42,0.256,0.256,0.248,0.257,0.256,0.249,0.26,0.26,0.248
57,0.264,0.265,0.257,0.266,0.265,0.259,0.269,0.268,0.257
72,0.273,0.273,0.265,0.274,0.273,0.267,0.277,0.277,0.266
87,0.281,0.281,0.275,0.284,0.282,0.276,0.288,0.286,0.274
102,0.293,0.293,0.287,0.296,0.295,0.286,0.299,0.299,0.285
117,0.307,0.307,0.3,0.309,0.309,0.3,0.313,0.311,0.299
132,0.323,0.323,0.304,0.32,0.325,0.317,0.331,0.328,0.315
147,0.336,0.337,0.313,0.331,0.342,0.334,0.348,0.345,0.331
162,0.346,0.348,0.324,0.339,0.359,0.351,0.365,0.362,0.347
177,0.355,0.356,0.329,0.346,0.376,0.37,0.38,0.377,0.362
192,0.368,0.37,0.339,0.358,0.397,0.391,0.399,0.396,0.378
207,0.384,0.386,0.35,0.371,0.425,0.408,0.418,0.414,0.395
222,0.396,0.396,0.361,0.382,0.445,0.425,0.434,0.425,0.414
237,0.412,0.412,0.375,0.399,0.471,0.449,0.451,0.444,0.434
252,0.422,0.424,0.387,0.406,0.482,0.464,0.47,0.462,0.444
267,0.438,0.438,0.401,0.422,0.498,0.491,0.497,0.48,0.458
282,0.454,0.455,0.42,0.437,0.519,0.513,0.515,0.497,0.476
297,0.47,0.471,0.437,0.454,0.543,0.535,0.536,0.521,0.495
312,0.487,0.491,0.455,0.474,0.567,0.559,0.563,0.548,0.514
327,0.508,0.511,0.474,0.497,0.588,0.587,0.582,0.565,0.541
342,0.517,0.519,0.497,0.524,0.612,0.608,0.604,0.589,0.57
357,0.519,0.521,0.501,0.552,0.637,0.632,0.627,0.611,0.592
372,0.521,0.523,0.504,0.576,0.659,0.653,0.649,0.635,0.617
387,0.521,0.523,0.505,0.586,0.676,0.673,0.672,0.66,0.643
402,0.519,0.521,0.504,0.594,0.694,0.69,0.699,0.686,0.67
417,0.517,0.518,0.498,0.612,0.702,0.696,0.722,0.71,0.693
432,0.517,0.519,0.497,0.613,0.7,0.695,0.744,0.735,0.722
447,0.516,0.517,0.496,0.614,0.697,0.694,0.765,0.758,0.743
462,0.515,0.516,0.493,0.618,0.698,0.694,0.785,0.78,0.765
477,0.515,0.515,0.49,0.618,0.69,0.695,0.804,0.798,0.785
492,0.515,0.517,0.492,0.615,0.694,0.692,0.816,0.812,0.804
