Test,,Mcell,Dcell,v_uptake,k_uptake,n_uptake,ntf,yield_S,v_synprot,k_synprot,k_fr,n_fr,fq,fr,fm,fh,k_ind,k_cm,v_uptake2,k_uptake2
new1,0,416000000.0,1700000.0,249.49974536999576,23117.25319901501,1.0,1.0,0.083,1080.0,0.0005,0.5197430159590792,2.0,0.45,1.0,0.65,0.5,0.5,3.0,211.45132852689176,28934.303262903682
new1,1,416000000.0,1700000.0,322.6469439602564,35704.737983416744,1.0,1.0,0.083,1080.0,0.0005,0.5202445443454823,2.0,0.45,1.0,0.65,0.5,0.5,3.0,229.96297810252133,33748.690897379645
new1,2,416000000.0,1700000.0,266.0863017097549,27693.64141268027,1.0,1.0,0.083,1080.0,0.0005,0.4969777779171022,2.0,0.45,1.0,0.65,0.5,0.5,3.0,206.71915991212708,28598.418083911587
new1,3,416000000.0,1700000.0,305.3699273184552,33362.04953424118,1.0,1.0,0.083,1080.0,0.0005,0.5992810022936391,2.0,0.45,1.0,0.65,0.5,0.5,3.0,268.1349416269144,41014.59420474023
new1,4,416000000.0,1700000.0,392.1804047694457,47158.459396275175,1.0,1.0,0.083,1080.0,0.0005,0.7582032183875321,2.0,0.45,1.0,0.65,0.5,0.5,3.0,319.26960877806096,52613.99189423602
new1a,0,416000000.0,1700000.0,205.78894169949427,18127.291459495507,1.0,1.0,0.083,1080.0,0.0010328890481539998,0.3473498239745586,2.0,0.45,1.0,0.65,0.5,0.5,3.0,151.6696044728829,15711.672051038513
new1a,1,416000000.0,1700000.0,179.04959313780108,12354.039456506587,1.0,1.0,0.083,1080.0,0.001034978182423799,0.6575009658829674,2.0,0.45,1.0,0.65,0.5,0.5,3.0,146.9954915944189,15705.943916706441
new1a,2,416000000.0,1700000.0,230.25386022464141,19840.115911948167,1.0,1.0,0.083,1080.0,0.001004464444124144,0.5866967117378592,2.0,0.45,1.0,0.65,0.5,0.5,3.0,171.9847706899292,20661.733472780965
new1a,3,416000000.0,1700000.0,222.02460098873337,20381.401172143112,1.0,1.0,0.083,1080.0,0.0010167397587438306,0.5847691905695342,2.0,0.45,1.0,0.65,0.5,0.5,3.0,214.27266674225098,30397.903342191174
new1a,4,416000000.0,1700000.0,467.1517459883181,60941.94311889419,1.0,1.0,0.083,1080.0,0.0010266133562433137,0.3550588956852616,2.0,0.45,1.0,0.65,0.5,0.5,3.0,200.279674566448,26265.561753389855
new2,0,416000000.0,1700000.0,194.29770826458775,14905.373575217149,1.0,1.0,0.083,1080.0,0.0010153825559507572,0.3638183358206412,1.0,0.45,1.0,0.65,0.5,0.5,3.0,159.68879219665106,16853.926012430737
new2,1,416000000.0,1700000.0,222.9764172347201,17516.72351737209,1.0,1.0,0.083,1080.0,0.0012028440624708811,0.5007463420320717,1.0,0.45,1.0,0.65,0.5,0.5,3.0,133.33934114410619,10425.665702045035
new2,2,416000000.0,1700000.0,208.01124492057036,17789.685455794817,1.0,1.0,0.083,1080.0,0.0010119162836976774,0.774859361811484,1.0,0.45,1.0,0.65,0.5,0.5,3.0,150.37264211191402,15600.716819797932
new2,3,416000000.0,1700000.0,381.26516063083415,44677.1081405203,1.0,1.0,0.083,1080.0,0.0011147313659443216,0.7270149765911821,1.0,0.45,1.0,0.65,0.5,0.5,3.0,216.12096485396702,30676.64810839517
new2,4,416000000.0,1700000.0,314.5917890195426,32927.58078568955,1.0,1.0,0.083,1080.0,0.0011291643652875268,0.7505844951247016,1.0,0.45,1.0,0.65,0.5,0.5,3.0,177.57219849266014,20698.559659543334
new2,0,416000000.0,1700000.0,155.11327723674637,8817.943713060653,1.0,1.0,0.083,1080.0,0.0011046596458957564,0.5437404394228977,1.0,0.45,1.0,0.65,0.5,0.5,3.0,108.69175470105833,6396.029325415238
new2,1,416000000.0,1700000.0,248.30150617939722,23150.947097813627,1.0,1.0,0.083,1080.0,0.0010598023875622172,0.5527772547358658,1.0,0.45,1.0,0.65,0.5,0.5,3.0,137.4772998130024,12411.839729939578
new2,2,416000000.0,1700000.0,339.0269984887027,37933.49099495522,1.0,1.0,0.083,1080.0,0.0011377481234432847,0.7072536820297576,1.0,0.45,1.0,0.65,0.5,0.5,3.0,157.14135094893766,16807.580661416596
new2,3,416000000.0,1700000.0,237.2952272892279,22113.131065589856,1.0,1.0,0.083,1080.0,0.0010681556392933577,0.5687157868937209,1.0,0.45,1.0,0.65,0.5,0.5,3.0,163.42617070805883,19007.370162481653
new2,4,416000000.0,1700000.0,361.3316061015541,40282.40146658865,1.0,1.0,0.083,1080.0,0.0010357533708474703,0.6646593514996281,1.0,0.45,1.0,0.65,0.5,0.5,3.0,205.9876474314118,26144.361370993298
